accession	message	sample_name	sample_title	bioproject_accession	organism	isolate	cultivar	ecotype	age	dev_stage	geo_loc_name	tissue	biomaterial_provider	cell_line	cell_type	collected_by	collection_date	culture_collection	disease	disease_stage	genotype	growth_protocol	height_or_length	isolation_source	lat_lon	phenotype	population	sample_type	sex	specimen_voucher	temp	treatment	description
SAMN09924226	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S030		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S030			4-6 weeks		not applicable	Leaf																					
SAMN09924227	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S031		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S031			4-6 weeks		not applicable	Leaf																					
SAMN09924228	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S032		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S032			4-6 weeks		not applicable	Leaf																					
SAMN09924229	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S033		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S033			4-6 weeks		not applicable	Leaf																					
SAMN09924230	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S034		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S034			4-6 weeks		not applicable	Leaf																					
SAMN09924231	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S035		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S035			4-6 weeks		not applicable	Leaf																					
SAMN09924232	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S036		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S036			4-6 weeks		not applicable	Leaf																					
SAMN09924233	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S037		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S037			4-6 weeks		not applicable	Leaf																					
SAMN09924234	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S038		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S038			4-6 weeks		not applicable	Leaf																					
SAMN09924235	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S039		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S039			4-6 weeks		not applicable	Leaf																					
SAMN09924236	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S040		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S040			4-6 weeks		not applicable	Leaf																					
SAMN09924237	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S041		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S041			4-6 weeks		not applicable	Leaf																					
SAMN09924238	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S042		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S042			4-6 weeks		not applicable	Leaf																					
SAMN09924239	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S043		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S043			4-6 weeks		not applicable	Leaf																					
SAMN09924240	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S044		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S044			4-6 weeks		not applicable	Leaf																					
SAMN09924241	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S045		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S045			4-6 weeks		not applicable	Leaf																					
SAMN09924242	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S046		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S046			4-6 weeks		not applicable	Leaf																					
SAMN09924243	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S047		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S047			4-6 weeks		not applicable	Leaf																					
SAMN09924244	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S048		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S048			4-6 weeks		not applicable	Leaf																					
SAMN09924245	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S049		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S049			4-6 weeks		not applicable	Leaf																					
SAMN09924246	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S050		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S050			4-6 weeks		not applicable	Leaf																					
SAMN09924247	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S051		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S051			4-6 weeks		not applicable	Leaf																					
SAMN09924248	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S052		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S052			4-6 weeks		not applicable	Leaf																					
SAMN09924249	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S053		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S053			4-6 weeks		not applicable	Leaf																					
SAMN09924250	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S054		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S054			4-6 weeks		not applicable	Leaf																					
SAMN09924251	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S055		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S055			4-6 weeks		not applicable	Leaf																					
SAMN09924252	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S056		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S056			4-6 weeks		not applicable	Leaf																					
SAMN09924253	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S057		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S057			4-6 weeks		not applicable	Leaf																					
SAMN09924254	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S058		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S058			4-6 weeks		not applicable	Leaf																					
SAMN09924255	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S059		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S059			4-6 weeks		not applicable	Leaf																					
SAMN09924256	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S060		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S060			4-6 weeks		not applicable	Leaf																					
SAMN09924257	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S061		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S061			4-6 weeks		not applicable	Leaf																					
SAMN09924258	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S062		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S062			4-6 weeks		not applicable	Leaf																					
SAMN09924259	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S063		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S063			4-6 weeks		not applicable	Leaf																					
SAMN09924260	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S064		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S064			4-6 weeks		not applicable	Leaf																					
SAMN09924261	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S065		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S065			4-6 weeks		not applicable	Leaf																					
SAMN09924262	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S066		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S066			4-6 weeks		not applicable	Leaf																					
SAMN09924263	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR690S067		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR690S067			4-6 weeks		not applicable	Leaf																					
SAMN09924264	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S001		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S001			4-6 weeks		not applicable	Leaf																					
SAMN09924265	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S002		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S002			4-6 weeks		not applicable	Leaf																					
SAMN09924266	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S003		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S003			4-6 weeks		not applicable	Leaf																					
SAMN09924267	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S004		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S004			4-6 weeks		not applicable	Leaf																					
SAMN09924268	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S005		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S005			4-6 weeks		not applicable	Leaf																					
SAMN09924269	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S006		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S006			4-6 weeks		not applicable	Leaf																					
SAMN09924270	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S007		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S007			4-6 weeks		not applicable	Leaf																					
SAMN09924271	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S008		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S008			4-6 weeks		not applicable	Leaf																					
SAMN09924272	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S009		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S009			4-6 weeks		not applicable	Leaf																					
SAMN09924273	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S010		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S010			4-6 weeks		not applicable	Leaf																					
SAMN09924274	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S011		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S011			4-6 weeks		not applicable	Leaf																					
SAMN09924275	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S012		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S012			4-6 weeks		not applicable	Leaf																					
SAMN09924276	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S013		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S013			4-6 weeks		not applicable	Leaf																					
SAMN09924277	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S014		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S014			4-6 weeks		not applicable	Leaf																					
SAMN09924278	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S015		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S015			4-6 weeks		not applicable	Leaf																					
SAMN09924279	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S016		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S016			4-6 weeks		not applicable	Leaf																					
SAMN09924280	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S017		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S017			4-6 weeks		not applicable	Leaf																					
SAMN09924281	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S018		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S018			4-6 weeks		not applicable	Leaf																					
SAMN09924282	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S019		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S019			4-6 weeks		not applicable	Leaf																					
SAMN09924283	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S020		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S020			4-6 weeks		not applicable	Leaf																					
SAMN09924284	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S021		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S021			4-6 weeks		not applicable	Leaf																					
SAMN09924285	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S022		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S022			4-6 weeks		not applicable	Leaf																					
SAMN09924286	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S023		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S023			4-6 weeks		not applicable	Leaf																					
SAMN09924287	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S024		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S024			4-6 weeks		not applicable	Leaf																					
SAMN09924288	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S025		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S025			4-6 weeks		not applicable	Leaf																					
SAMN09924289	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S026		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S026			4-6 weeks		not applicable	Leaf																					
SAMN09924290	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S027		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S027			4-6 weeks		not applicable	Leaf																					
SAMN09924291	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S028		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S028			4-6 weeks		not applicable	Leaf																					
SAMN09924292	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S029		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S029			4-6 weeks		not applicable	Leaf																					
SAMN09924293	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S030		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S030			4-6 weeks		not applicable	Leaf																					
SAMN09924294	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S031		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S031			4-6 weeks		not applicable	Leaf																					
SAMN09924295	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S032		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S032			4-6 weeks		not applicable	Leaf																					
SAMN09924296	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S033		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S033			4-6 weeks		not applicable	Leaf																					
SAMN09924297	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S034		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S034			4-6 weeks		not applicable	Leaf																					
SAMN09924298	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S035		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S035			4-6 weeks		not applicable	Leaf																					
SAMN09924299	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S036		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S036			4-6 weeks		not applicable	Leaf																					
SAMN09924300	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S037		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S037			4-6 weeks		not applicable	Leaf																					
SAMN09924301	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S038		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S038			4-6 weeks		not applicable	Leaf																					
SAMN09924302	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S039		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S039			4-6 weeks		not applicable	Leaf																					
SAMN09924303	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S040		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S040			4-6 weeks		not applicable	Leaf																					
SAMN09924304	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S041		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S041			4-6 weeks		not applicable	Leaf																					
SAMN09924305	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S042		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S042			4-6 weeks		not applicable	Leaf																					
SAMN09924306	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S043		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S043			4-6 weeks		not applicable	Leaf																					
SAMN09924307	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S044		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S044			4-6 weeks		not applicable	Leaf																					
SAMN09924308	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S045		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S045			4-6 weeks		not applicable	Leaf																					
SAMN09924309	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S046		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S046			4-6 weeks		not applicable	Leaf																					
SAMN09924310	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S047		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S047			4-6 weeks		not applicable	Leaf																					
SAMN09924311	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S048		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S048			4-6 weeks		not applicable	Leaf																					
SAMN09924312	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S049		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S049			4-6 weeks		not applicable	Leaf																					
SAMN09924313	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S050		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S050			4-6 weeks		not applicable	Leaf																					
SAMN09924314	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S051		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S051			4-6 weeks		not applicable	Leaf																					
SAMN09924315	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S052		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S052			4-6 weeks		not applicable	Leaf																					
SAMN09924316	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S053		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S053			4-6 weeks		not applicable	Leaf																					
SAMN09924317	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S054		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S054			4-6 weeks		not applicable	Leaf																					
